"From"	"To"	"RatioFromTo"
"Lys"	3047	5588	0.545275590551181
"Stop"	178	209	0.851674641148325
"Phe"	3952	4303	0.918429003021148
"Asp"	1215	1275	0.952941176470588
"Val"	10216	10532	0.969996202050893
"Glu"	576	591	0.974619289340102
"Ala"	15786	16136	0.978309370352008
"Tyr"	1989	2003	0.99301048427359
"Met"	4959	4940	1.00384615384615
"Ile"	11583	11430	1.01338582677165
"Cys"	634	616	1.02922077922078
"Ser"	6992	6779	1.03142056350494
"Asn"	4096	3905	1.04891165172855
"Gln"	490	467	1.04925053533191
"Gly"	1809	1711	1.0572764465225
"Arg"	724	683	1.06002928257687
"Thr"	21383	19900	1.07452261306533
"His"	1823	1672	1.09031100478469
"Leu"	6594	5881	1.12123788471348
"Pro"	3289	2806	1.17213114754098
"Trp"	315	223	1.41255605381166
