# From Valeria:
# We blasted human mitochondrial proteins against proteins from alpha-proteobacteria group (100 species for each of 10 genes in result). 
# Then FASTA with flat query-anchored alignment sequences was parced to count the amount of aminoacids in every sequence, exclude genes ATP8, ND6 and ND4L.
;HumanGeneAnalog;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
1;ATP6;MULTISPECIES: F0F1 ATP synthase subunit A [Proteobacteria];11;2;4;1;0;3;2;4;4;21;23;2;1;4;6;6;12;0;2;5
2;ATP6;F0F1 ATP synthase subunit A [Bradyrhizobium canariense];15;3;5;0;0;5;4;6;3;16;40;0;2;7;10;3;16;1;3;11
3;ATP6;F0F1 ATP synthase subunit A [Bradyrhizobium canariense];16;3;5;0;0;5;4;6;3;16;40;0;2;7;10;3;16;1;3;10
4;ATP6;F0F1 ATP synthase subunit A, partial [Bradyrhizobium canariense];15;3;4;0;0;5;4;5;3;16;33;0;1;6;10;3;15;1;3;10
5;ATP6;F0F1 ATP synthase subunit A [Sandarakinorhabdus sp. MO-4];22;8;6;3;1;2;6;16;5;13;32;2;7;21;10;7;8;0;5;25
6;ATP6;F0F1 ATP synthase subunit A [Sandarakinorhabdus cyanobacteriorum];23;8;6;4;1;3;5;14;5;13;31;2;6;21;10;7;9;0;6;25
7;ATP6;F0F1 ATP synthase subunit A [Sandarakinorhabdus cyanobacteriorum];23;8;6;4;1;3;5;14;5;13;31;2;6;21;10;7;9;0;6;25
8;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter methanicus];23;5;7;3;1;2;4;14;4;15;24;5;14;26;7;8;16;1;6;29
9;ATP6;F0F1 ATP synthase subunit A [Sandarakinorhabdus sp. AAP62];21;8;6;4;1;3;5;16;5;16;31;2;6;21;10;8;8;0;4;24
10;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];19;6;4;3;1;3;3;17;4;19;22;2;6;22;11;11;8;0;6;23
11;ATP6;F0F1 ATP synthase subunit A [Sandarakinorhabdus limnophila];21;8;6;4;1;3;5;16;5;16;31;2;6;21;10;8;8;0;4;24
12;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];20;7;4;3;1;5;3;17;4;20;25;3;8;22;11;10;9;1;6;25
