;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
0;Ulota_hutchinsiae;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;18;34;2;7;22;8;14;9;1;5;11
1;Pohlia_nutans;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;19;33;2;6;21;8;15;10;1;5;11
2;Orthotrichum_bicolor;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;18;35;2;7;21;8;14;9;1;5;11
3;Zygodon_viridissimus;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;18;35;2;7;21;8;14;9;1;5;11
4;Physcomitrium_patens;ATP6;ATP synthase F0 subunit 6;10;3;5;2;3;5;3;14;5;18;34;2;7;21;8;13;10;1;5;11
5;Funaria_hygrometrica;ATP6;ATP synthase F0 subunit 6;10;3;5;2;3;5;3;14;5;19;33;2;6;22;8;13;10;1;5;11
6;Tetraphis_pellucida;ATP6;Atp6;11;3;5;2;3;5;3;14;5;19;34;2;7;21;7;13;9;1;5;11
7;Mielichhoferia_elongata;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;20;33;2;6;20;8;15;10;1;5;11
8;Tetraplodon_fuegianus;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;18;34;2;7;21;8;14;10;1;5;11
9;Climacium_americanum;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;19;34;2;6;21;8;14;10;1;5;11
10;Ulota_crispa;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;17;37;2;7;20;8;14;9;1;5;11
11;Bartramia_patens;ATP6;ATP synthase F0 subunit 6;10;3;5;2;2;5;3;14;5;18;33;2;7;22;8;14;10;1;5;11
12;Sphagnum_palustre;ATP6;ATP synthase F0 subunit 6;11;4;5;2;2;5;3;14;5;18;35;2;7;20;7;13;10;1;5;11
13;Orthotrichum_stellatum;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;18;36;2;7;20;8;14;9;1;5;11
14;Dumortiera_hirsuta;ATP6;ATP synthase F0 subunit 6;10;3;5;2;3;6;3;14;4;17;34;2;5;22;7;13;10;1;6;13
15;Frisvollia_varia;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;5;3;13;5;19;33;2;7;21;7;14;10;1;5;11
16;Riccia_fluitans;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;6;3;14;4;18;34;2;5;21;7;13;10;1;6;12
17;Marchantia_paleacea;ATP6;ATP synthase F0 subunit 6;10;3;5;2;3;6;3;15;4;18;34;2;5;21;7;13;10;1;6;12
18;Anomodon_rugelii;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;19;33;2;6;21;8;15;10;1;5;11
19;Marchantia_polymorpha_subsp._ruderalis;ATP6;ATP synthase F0 subunit 6;10;3;5;2;3;6;3;15;4;18;34;2;5;21;7;13;10;1;6;12
20;Atrichum_angustatum;ATP6;ATP synthase F0 subunit 6;10;3;5;2;3;5;3;14;5;18;32;2;7;22;8;14;10;1;5;11
21;Buxbaumia_aphylla;ATP6;ATP synthase F0 subunit 6;9;3;5;2;3;5;3;15;5;17;36;2;7;20;8;13;10;1;5;11
22;Gossypium_hirsutum;ATP6;PREDICTED;3;6;8;0;4;2;3;7;4;23;28;3;2;25;5;11;4;2;5;13
23;Brachythecium_rivulare;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;19;33;2;6;21;8;15;10;1;5;11
24;Polytrichum_commune;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;5;3;13;5;18;33;2;7;22;8;13;10;1;5;11
25;Niphotrichum_ericoides;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;5;3;13;5;19;34;2;7;20;7;14;10;1;5;11
26;Dilutineuron_laevigatum;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;5;3;13;5;19;34;2;7;20;7;14;10;1;5;11
27;Callicladium_imponens;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;20;33;2;6;20;8;15;10;1;5;11
28;Bucklandiella_orthotrichacea;ATP6;ATP synthase F0 subunit 6;11;4;5;2;2;5;3;13;5;19;34;2;7;20;7;14;10;1;5;11
29;Syntrichia_filaris;ATP6;ATP synthase F0 subunit 6;11;3;5;2;2;5;3;13;5;19;34;2;7;20;7;15;10;1;5;11
30;Chionoloma_tenuirostre;ATP6;ATP synthase F0 subunit 6;11;3;6;2;2;5;3;13;5;18;35;2;7;20;7;14;10;1;5;11
31;Gymnomitrion_concinnatum;ATP6;ATP synthase F0 subunit 6;11;4;5;2;2;6;3;14;4;18;32;2;6;21;8;14;9;1;6;12
32;Tritomaria_quinquedentata;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;6;3;14;4;18;34;2;5;20;8;13;10;1;6;12
33;Treubia_lacunosa;ATP6;ATP synthase F0 subunit 6;11;3;5;1;2;6;4;15;4;16;37;2;5;21;7;12;10;1;6;12
34;Citrus_sinensis;ATP6;ATPase subunit 6;9;3;9;3;5;5;3;16;3;18;34;3;5;22;7;10;9;1;5;12
35;Sophora_flavescens;ATP6;ATPase subunit 6;9;3;8;4;5;4;4;16;3;17;35;3;5;22;7;10;9;1;5;12
36;Ammopiptanthus_nanus;ATP6;ATP synthase F0 subunit a;10;3;8;3;5;4;4;16;3;18;35;3;5;21;7;10;9;1;5;12
37;Chorisodontium_aciphyllum;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;5;3;13;5;19;32;2;7;20;8;15;10;1;5;11
38;Bartramia_pomiformis;ATP6;ATP synthase F0 subunit 6;10;4;5;1;1;6;3;14;4;18;30;2;7;21;9;15;10;1;5;10
39;Citrullus_lanatus;ATP6;ATPase subunit 6;10;3;9;3;5;5;3;16;3;16;37;3;5;21;7;10;10;1;5;12
40;Lotus_japonicus;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;19;7;11;9;1;5;12
41;Chrysanthemum_boreale;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;21;7;10;9;1;4;12
42;Diplostephium_hartwegii;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
43;Epirixanthes_elongata;ATP6;ATP synthase F0 subunit 6;9;2;8;4;4;5;3;15;3;20;36;3;5;19;7;10;9;1;5;14
44;Solenostoma_sphaerocarpum;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;6;3;14;4;18;30;2;6;21;9;16;8;1;6;12
45;Cannabis_sativa;ATP6;ATPase subunit 6;9;3;7;4;5;5;3;16;4;18;35;3;5;22;7;10;9;1;4;12
46;Beta_vulgaris_subsp._maritima;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
47;Sanionia_uncinata;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;18;34;2;6;19;8;17;10;1;5;11
48;Pleurozia_purpurea;ATP6;ATP synthase F0 subunit 6;11;3;5;2;3;6;3;14;4;17;29;2;5;22;10;15;10;1;6;12
49;Lactuca_serriola;ATP6;ATP synthase subunit 6, partial;9;3;8;4;5;5;3;16;3;18;36;3;5;21;7;10;9;1;4;12
50;Cucurbita_pepo;ATP6;ATPase subunit 6;10;3;9;3;5;5;3;17;3;16;37;3;5;20;7;12;10;1;5;12
51;Helianthus_annuus;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
52;Silene_latifolia;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
53;Helianthus_annuus;ATP6;ATP synthase subunit a-like;9;3;8;4;5;5;3;16;3;17;37;3;4;20;7;10;9;1;5;13
54;Helianthus_grosseserratus;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
55;Nelumbo_nucifera;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;18;37;3;5;19;7;10;9;1;5;12
56;Sapindus_mukorossi;ATP6;ATP synthase subunit 6;9;3;9;3;5;5;3;16;3;17;35;3;5;22;7;10;9;1;5;12
57;Pongamia_pinnata;ATP6;ATPase subunit 6;9;3;7;4;5;5;3;15;4;17;35;3;5;20;7;10;9;1;5;12
58;Nymphaea_colorata;ATP6;ATPase subunit 6;10;3;9;3;5;6;3;16;3;17;36;2;5;21;7;10;10;1;5;12
59;Boechera_stricta;ATP6;ATPase subunit 6;11;3;6;2;5;5;4;15;4;18;35;3;6;22;7;10;8;1;5;12
60;Calypogeia_integristipula;ATP6;ATP synthase F0 subunit 6;11;4;5;2;2;6;3;14;4;18;30;2;6;21;9;15;9;1;6;12
61;Brassica_oleracea;ATP6;atp6;11;3;6;2;5;5;4;15;4;18;35;3;6;22;7;10;8;1;5;12
62;Brassica_napus;ATP6;ATPase subunit 6;11;3;6;2;5;5;4;15;4;18;35;3;6;22;7;10;8;1;5;12
63;Andreaea_wangiana;ATP6;ATP synthase F0 subunit 6;12;5;5;1;1;5;3;13;5;18;30;2;7;19;7;17;10;1;5;10
64;Helianthus_strumosus;ATP6;ATPase subunit 6;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
65;Helianthus_annuus;ATP6;ATP synthase subunit a;9;3;8;4;5;5;3;16;3;17;37;3;5;20;7;10;9;1;5;12
66;Ptychomnion_cygnisetum;ATP6;ATP synthase F0 subunit 6;10;4;5;2;1;5;3;14;5;19;31;2;7;20;9;17;10;1;5;10
67;Geranium_maderense;ATP6;ATP synthase subunit 6;9;3;7;3;5;5;4;16;3;17;36;3;5;21;7;10;10;1;5;12
68;Calypogeia_arguta;ATP6;ATP synthase F0 subunit 6;12;4;5;2;2;6;3;14;4;18;29;2;6;21;9;16;9;1;6;11
69;Arabidopsis_thaliana;ATP6;ATPase subunit 6;11;3;6;3;5;5;3;15;4;18;35;3;6;22;7;10;8;1;5;12
70;Porella_platyphylla;ATP6;ATP synthase F0 subunit 6;11;4;5;2;2;6;3;14;4;16;31;2;5;21;11;14;10;1;6;12
71;Arabis_alpina;ATP6;ATPase subunit 6;11;3;6;2;5;5;4;15;4;18;35;3;6;22;7;10;8;1;5;12
72;Capsella_rubella;ATP6;ATPase subunit 6;11;3;6;2;5;5;4;15;4;18;35;3;6;22;7;10;8;1;5;12
73;Arabidopsis_thaliana;ATP6;ATPase, F0 complex, subunit A protein;11;3;6;3;5;5;3;15;4;18;35;3;6;22;7;10;8;1;5;12
74;Arabidopsis_thaliana;ATP6;ATPase subunit 6;11;3;6;3;5;5;3;15;4;18;35;3;6;22;7;10;8;1;5;12
75;Oryza_sativa_Japonica_Group;ATP6;ATP synthase F0 subunit 6;10;3;8;3;4;5;3;14;4;18;33;3;4;24;7;10;9;1;4;12
76;Metzgeria_furcata;ATP6;ATP synthase F0 subunit 6;11;5;5;2;1;6;3;14;4;17;31;2;5;19;8;18;10;1;6;12
77;Ptilidium_ciliare;ATP6;ATP synthase F0 subunit 6;11;4;5;2;2;6;3;14;4;17;30;2;5;21;9;16;10;1;6;12
78;Raphanus_sativus;ATP6;ATP synthase subunit 6;11;3;6;2;5;5;4;15;4;18;35;3;6;22;7;10;8;1;5;12
79;Ajuga_reptans;ATP6;ATP synthase F0 subunit 6;10;3;4;2;3;5;5;17;3;16;34;3;5;17;9;13;9;1;5;9
80;Passiflora_edulis;ATP6;ATP synthase F0 subunit 6;9;2;5;3;5;4;2;13;4;15;34;4;5;20;7;9;9;1;4;9
81;Rotheca_serrata;ATP6;ATP synthase F0 subunit 6;10;2;5;3;3;2;2;13;4;14;30;2;5;15;7;9;7;1;4;8
82;Salvia_miltiorrhiza;ATP6;ATPase subunit 6;10;3;6;2;4;3;2;13;4;14;29;4;5;20;8;12;10;1;5;11
83;Phlegmariurus_squarrosus;ATP6;atp6 gene product;12;3;5;2;3;5;3;14;4;18;28;2;6;19;6;21;10;1;6;12
84;Medicago_truncatula;ATP6;ATPase subunit 6;9;3;5;2;3;3;2;14;4;18;32;1;5;12;6;11;7;1;5;8
85;Codonopsis_lanceolata;ATP6;Atp6;9;2;9;3;5;5;3;16;3;16;30;3;5;21;8;19;9;1;5;12
86;Mirabilis_himalaica;ATP6;ATPase subunit 6;11;4;8;4;4;5;3;15;5;17;33;3;5;22;8;11;10;1;3;12
87;Beta_vulgaris_subsp._maritima;ATP6;hypothetical protein BevumaM_p056;10;4;8;4;4;5;3;16;5;17;34;3;5;20;8;12;10;1;3;12
88;Beta_vulgaris_subsp._vulgaris;ATP6;atp6 gene product;10;4;8;4;4;5;3;16;5;17;34;3;5;20;8;12;10;1;3;12
89;Nymphaea_colorata;ATP6;ATPase subunit 6;10;3;6;2;3;3;2;13;5;15;29;1;5;14;7;10;8;1;3;8
90;Trifolium_pratense;ATP6;ATPase subunit 6;9;3;5;3;4;3;2;13;3;15;28;1;5;14;8;10;7;1;5;8
91;Trifolium_grandiflorum;ATP6;ATPase subunit 6;9;3;5;3;4;3;2;13;3;15;28;1;5;14;8;10;7;1;5;8
92;Trifolium_meduseum;ATP6;ATPase subunit 6;9;3;5;3;4;3;2;13;3;15;28;1;5;14;8;10;7;1;5;8
93;Spinacia_oleracea;ATP6;Atp6;9;4;8;4;4;5;3;16;5;17;34;3;5;20;8;12;9;1;3;12
94;Chenopodium_quinoa;ATP6;ATP synthase subunit 6;9;4;8;4;4;5;3;16;5;17;34;3;5;20;8;12;9;1;3;12
95;Gossypium_hirsutum;ATP6;ATP synthase F1 subunit 6;9;3;5;2;3;2;2;13;4;15;29;1;5;14;6;10;7;1;4;8
96;Amborella_trichopoda;ATP6;uncharacterized protein LOC110006549;12;3;3;3;3;7;4;16;4;17;28;2;4;16;6;13;14;1;5;16
97;Bombax_ceiba;ATP6;Atp6;9;3;5;2;3;2;2;13;4;15;29;1;5;14;6;10;7;1;4;8
98;Gossypium_arboreum;ATP6;PREDICTED;9;3;5;2;3;2;2;13;4;15;29;1;5;14;6;10;7;1;4;8
99;Aneura_pinguis;ATP6;ATP synthase F0 subunit 6;11;5;5;1;1;6;3;14;4;17;27;2;4;19;9;20;10;1;6;13
100;Gossypium_raimondii;ATP6;PREDICTED;9;3;5;2;3;2;2;13;4;15;29;1;5;14;6;10;7;1;4;8
101;Bupleurum_falcatum;ATP6;Atp6;9;3;5;3;4;3;2;13;4;15;29;1;5;13;7;11;7;1;4;8
102;Coffea_eugenioides;ATP6;uncharacterized protein LOC113782740;9;5;8;1;4;5;3;15;5;16;31;3;5;19;10;15;10;1;3;14
103;Hibiscus_cannabinus;ATP6;ATPase subunit 6;9;4;7;2;4;4;2;13;4;16;30;3;5;18;8;12;9;1;5;10
104;Dorcoceras_hygrometricum;ATP6;atp6 gene product;10;3;6;2;3;3;2;13;4;14;28;1;5;14;6;13;8;1;4;8
105;Ricinus_communis;ATP6;ATP synthase F0 subunit 6;10;2;8;4;5;5;3;16;5;17;31;4;5;20;9;14;10;1;3;12
106;Populus_davidiana;ATP6;ATP synthase subunit 6;9;2;6;2;3;3;2;13;4;16;25;2;5;14;7;13;7;1;4;8
