;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
0;Schizosaccharomyces_cryophilus;ATP6;ATP synthase F0 subunit 6;15;2;11;2;1;6;3;18;4;25;36;4;4;19;8;18;10;1;5;10
1;Podila_verticillata;ATP6;ATP synthase F0 subunit 6;15;3;8;1;0;4;3;17;3;21;31;5;4;18;9;14;15;2;7;16
2;Saccharomyces_kudriavzevii;ATP6;ATP6;13;3;10;2;0;3;3;16;3;28;32;5;10;16;7;12;11;5;7;10
3;Schizosaccharomyces_pombe;ATP6;ATPase6;11;3;6;1;1;6;3;17;3;26;33;3;3;16;7;14;12;1;5;9
4;Saccharomyces_cerevisiae;ATP6;Atp6;13;3;11;2;0;3;3;15;3;30;36;5;9;17;7;14;13;5;8;11
5;Saccharomyces_cariocanus;ATP6;Atp6p;13;3;11;2;0;3;3;15;3;31;36;5;9;16;7;14;13;5;8;11
6;[Candida_bracarensis;ATP6;ATP synthase F0 subunit a;12;3;8;3;2;5;3;12;2;29;37;6;6;20;6;19;11;3;11;14
7;Vanderwaltozyma_polyspora;ATP6;ATP synthase, subunit 6;12;3;12;2;2;3;3;14;2;30;36;5;5;15;8;13;14;4;7;7
8;Schizosaccharomyces_octosporus;ATP6;ATP synthase F0 subunit 6;12;2;8;2;1;4;2;15;3;26;34;4;3;17;7;17;9;1;5;10
9;Saccharomyces_mikatae;ATP6;F1F0 ATP synthase subunit a;12;3;11;2;0;3;3;15;3;31;36;5;9;16;7;14;13;5;8;12
10;Saccharomyces_arboricola;ATP6;Atp6p;11;3;10;2;0;3;3;16;3;29;32;5;10;16;7;14;12;5;7;8
11;Candida_alai;ATP6;ATP synthase F0 subunit a;8;3;11;2;1;4;2;16;2;35;35;5;3;13;7;22;9;2;7;11
12;[Candida_nivariensis;ATP6;ATP synthase F0 subunit a;12;3;8;3;1;5;3;12;2;31;36;6;8;19;6;20;10;3;11;13
13;Saccharomyces_cerevisiae_S288C;ATP6;F1F0 ATP synthase subunit a;14;3;11;2;0;3;3;16;3;29;36;5;10;17;7;13;12;5;8;11
14;Blastocladiella_emersonii;ATP6;ATP synthase F0 subunit 6;12;2;2;2;2;2;3;9;3;14;32;3;4;11;7;17;10;0;5;13
15;Nakaseomyces_delphensis;ATP6;ATP synthase subunit 6;12;4;8;3;1;5;3;12;2;30;36;5;8;17;6;20;10;3;11;13
16;Schizosaccharomyces_japonicus;ATP6;ATP synthase F0 subunit 6;9;2;13;1;0;3;2;10;2;32;35;4;0;20;7;13;12;0;8;6
17;[Candida_psychrophila;ATP6;ATP synthase F0 subunit a;16;4;5;2;1;3;2;19;2;14;34;4;16;18;6;24;11;3;8;18
18;Saccharomyces_paradoxus;ATP6;Atp6p;13;3;10;2;0;3;3;16;3;30;32;5;9;17;7;12;10;5;7;9
19;[Candida_hawaiiana;ATP6;Atp6;15;3;8;2;1;3;2;17;2;24;35;4;10;14;6;20;9;3;8;11
20;[Candida_glabrata_CBS_138;ATP6;ATP synthase subunit 6;12;3;8;3;1;5;3;13;2;31;36;6;7;17;6;20;8;4;10;14
21;Metschnikowia_cubensis;ATP6;Atp6;10;2;5;1;1;2;2;15;2;12;29;2;18;15;6;20;9;1;5;9
22;Phlebia_radiata;ATP6;ATP synthase subunit 6;16;3;5;1;3;3;5;11;4;27;33;8;5;20;7;19;12;2;10;15
23;Meyerozyma_guilliermondii;ATP6;ATP synthase F0 subunit 6;14;4;9;2;1;3;2;19;2;28;35;3;7;15;7;21;7;4;9;13
24;Metschnikowia_orientalis;ATP6;Atp6;13;2;5;1;1;2;2;15;2;12;30;2;17;14;6;19;7;1;6;9
25;Metschnikowia_borealis;ATP6;Atp6;12;2;5;1;1;2;2;15;2;11;29;2;18;15;6;19;7;1;5;11
26;Phakopsora_meibomiae;ATP6;ATP synthase subunit 6;12;5;4;2;2;1;3;13;3;21;25;1;4;12;6;12;10;1;8;22
