;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
0;Sandarakinorhabdus_cyanobacteriorum;ATP6;F0F1 ATP synthase subunit A;23;8;6;4;1;3;5;14;5;13;31;2;6;21;10;7;9;0;6;25
1;Methyloceanibacter_methanicus;ATP6;F0F1 ATP synthase subunit A;23;5;7;3;1;2;4;14;4;15;24;5;14;26;7;8;16;1;6;29
2;Sandarakinorhabdus_limnophila;ATP6;F0F1 ATP synthase subunit A;21;8;6;4;1;3;5;16;5;16;31;2;6;21;10;8;8;0;4;24
3;Magnetospirillum_gryphiswaldense;ATP6;F0F1 ATP synthase subunit A;16;8;3;2;1;2;5;20;5;16;20;2;8;24;9;9;11;1;7;22
5;Magnetospirillum_moscoviense;ATP6;F0F1 ATP synthase subunit A;17;7;3;2;1;3;6;19;5;21;20;3;6;24;9;7;10;1;7;20
6;Polymorphobacter_fuscus;ATP6;F0F1 ATP synthase subunit A;25;6;5;3;1;3;7;14;5;14;36;4;2;22;11;5;10;0;7;22
7;Thalassospira_australica;ATP6;F0F1 ATP synthase subunit A;19;8;5;2;2;2;5;19;6;21;22;3;11;23;8;7;13;1;6;18
8;Polymorphobacter_glacialis;ATP6;F0F1 ATP synthase subunit A;24;6;5;2;1;3;8;16;4;15;34;5;2;22;11;6;8;0;7;23
9;Rhodoligotrophos_appendicifer;ATP6;F0F1 ATP synthase subunit A;18;6;4;2;1;2;5;16;3;15;25;3;11;17;10;8;11;1;7;27
10;Roseospirillum_parvum;ATP6;F0F1 ATP synthase subunit A;16;6;4;3;1;2;4;15;4;20;27;3;10;17;9;9;10;0;8;16
11;Kordiimonas_sediminis;ATP6;F0F1 ATP synthase subunit A;16;3;6;1;2;3;6;18;3;17;25;6;9;21;8;9;8;2;8;20
12;Magnetospirillum_aberrantis;ATP6;F0F1 ATP synthase subunit A;16;8;3;2;1;3;5;18;6;18;26;0;6;25;10;9;8;1;7;19
